iter	F1	Logloss
0	0.6989619377	0.6762277868
1	0.7147814018	0.6661350007
2	0.7378777231	0.6509322565
3	0.7352941176	0.6408224917
4	0.7561837456	0.6306471087
5	0.7498197549	0.6225610111
6	0.7597684515	0.6161929461
7	0.7575757576	0.6094321665
8	0.7763532764	0.5966465752
9	0.7768361582	0.5894184581
10	0.7922168172	0.5796070001
11	0.787456446	0.5703718493
12	0.796950797	0.5614513015
13	0.7980569049	0.5523820589
14	0.8126721763	0.5451084959
15	0.8072372999	0.5356408233
16	0.8154803041	0.5291155233
17	0.8270158511	0.5219321398
18	0.8339029392	0.5173862277
19	0.8344733242	0.5131806526
20	0.8384879725	0.5073664796
21	0.8350444901	0.5029763139
22	0.8361891707	0.4985559359
23	0.8270158511	0.4946230184
24	0.8379120879	0.4889840907
25	0.8491847826	0.484617602
26	0.8559782609	0.4788751391
27	0.854816825	0.4756374706
28	0.8559782609	0.4704960165
29	0.8616010855	0.4680870878
30	0.8724832215	0.463735135
31	0.8754208754	0.4583595814
32	0.8835341365	0.4523918105
33	0.8890374332	0.4472050157
34	0.8890374332	0.4432445746335	0.8926174497	0.4379970625336	0.9024064171	0.431576987337	0.9024064171	0.4204483958
38	0.8987256875	0.4139	0.899339	0.9054593875	0.4140	0.899940	0.903654485	0.41241	0.90141	0.9042553191	0.4092173747
42	0.8969210174	0.40474595
43	0.9090909091	0.4004567516
44	0.9133024487	0.3980869473
45	0.9120951751	0.3949977419
46	0.9120951751	0.3919453944
47	0.9120951751	0.3875593636
48	0.9157266092	0.3831752706
49	0.9193121693	0.3809017927
50	0.9199205824	0.3758158746
51	0.9228740936	0.374035502
52	0.9199205824	0.3709299894
53	0.9205298013	0.367889872
54	0.9199205824	0.3649125402
55	0.9270216963	0.3619733911
56	0.9282422646	0.3588445659
57	0.9282422646	0.3552821246
58	0.9288537549	0.3525013337
59	0.9300791557	0.3484064015
60	0.9271523179	0.3463516346
61	0.93832021	0.3426489246
62	0.93832021	0.3399240489
63	0.93832021	0.3380628624
64	0.9348255431	0.3350275882
65	0.9411764706	0.3330363763
66	0.9417920209	0.330299761
67	0.9430255403	0.3273231703
68	0.942408377	0.3248265487
69	0.9430255403	0.32368239
70	0.942408377	0.3204482643
71	0.942408377	0.3180509053
72	0.9436435125	0.3143970843
73	0.947093403	0.312099588
74	0.9477124183	0.3090255445
75	0.9483322433	0.3064236337
76	0.9489528796	0.304624684
77	0.9495743287	0.3026833956
78	0.9489528796	0.300400197
79	0.9501965924	0.2981806499
80	0.9501965924	0.2960956528
81	0.9501965924	0.2926696983
82	0.9501965924	0.2911385545
83	0.9501965924	0.2895251337
84	0.9501965924	0.2868266062
85	0.9514435696	0.2835843814
86	0.9514435696	0.2824876622
87	0.9520682863	0.2808267052
88	0.9548724657	0.2784896305
89	0.9589041096	0.2759386033
90	0.9589041096	0.2736597455
91	0.9595300261	0.2722924798
92	0.9595300261	0.2709800284
93	0.9554973822	0.2697677624
94	0.9554973822	0.2678290506
95	0.9589041096	0.2667828399
96	0.9589041096	0.2654591162
97	0.9589041096	0.2644742915
98	0.9589041096	0.2629883265
99	0.9589041096	0.2619387128
100	0.9595300261	0.2596158247
101	0.9601567603	0.2577772944
102	0.9601567603	0.2560242136
103	0.9595300261	0.2550333735
104	0.9607843137	0.2527117287
105	0.9595300261	0.2514100578
106	0.9626719057	0.2491823887
107	0.9633027523	0.2471139077
108	0.9626719057	0.2455482937
109	0.9633027523	0.2440453167
110	0.9626719057	0.242645547
111	0.9639344262	0.2412914047
112	0.9633027523	0.2401745946
113	0.9639344262	0.2384805172
114	0.9639344262	0.2370444686
115	0.9645669291	0.235317847
116	0.9645669291	0.2343600652
117	0.9679529104	0.2330953713
118	0.9679529104	0.231273844
119	0.9645669291	0.2302819831
120	0.9645669291	0.2290142774
121	0.9645669291	0.2276364995
122	0.9645669291	0.2257977632
123	0.9679529104	0.2245919056
124	0.9673202614	0.2230885448
125	0.9673202614	0.2223263127
126	0.9679529104	0.2209791867
127	0.9679529104	0.2198729158
128	0.9685863874	0.2188796205
129	0.9679529104	0.2175822016
130	0.9685863874	0.2158141198
131	0.9692206942	0.2145295155
132	0.9692206942	0.213287285
133	0.9692206942	0.2107340263
134	0.9732201176	0.2090308476
135	0.9738562092	0.2080518504
136	0.9744931328	0.2065397741
137	0.9738562092	0.2050750982
138	0.9738562092	0.2040625735
139	0.9771986971	0.2019473607
140	0.9784735812	0.2001088865
141	0.9784735812	0.198812273
142	0.9784735812	0.1973529615
143	0.9784735812	0.1959226104
144	0.9784735812	0.1945924049
145	0.9797517962	0.1930345846
146	0.9791122715	0.1902956072
147	0.9797517962	0.1892581091
148	0.9797517962	0.1879202022
149	0.9803921569	0.1864060665
150	0.9803921569	0.1852039144
151	0.9803921569	0.1837681368
152	0.9803921569	0.1828197437
153	0.9810333551	0.181134619
