iter	Passed	Remaining
0	4	2400
1	10	2543
2	14	2333
3	19	2433
4	23	2365
5	27	2290
6	31	2214
7	35	2176
8	39	2129
9	42	2104
10	47	2106
11	54	2216
12	57	2148
13	60	2096
14	62	2013
15	63	1933
16	65	1867
17	67	1803
18	69	1749
19	70	1695
20	73	1685
21	82	1781
22	85	1779
23	88	1759
24	92	1762
25	96	1763
26	100	1758
27	103	1752
28	106	1722
29	107	1687
30	109	1650
31	110	1616
32	112	1587
33	113	1557
34	115	1530
35	116	1503
36	119	1494
37	121	1478
38	124	1466
39	126	1455
40	129	1444
41	130	1421
42	131	1398
43	1341	234	44	1342	243	2582
43	245	2545
44	249	2521
45	252	2493
46	257	2484
47	261	2459
48	266	2451
49	272	2448
50	276	2438
51	281	2425
52	289	2437
53	294	2434
54	298	2411
55	300	2382
56	302	2354
57	305	2329
58	308	2308
59	312	2290
60	315	2268
61	318	2247
62	321	2230
63	325	2220
64	329	2208
65	333	2194
66	336	2175
67	341	2171
68	344	2152
69	347	2135
70	351	2122
71	354	2105
72	356	2086
73	359	2067
74	361	2049
75	363	2030
76	366	2014
77	369	1998
78	371	1982
79	375	1971
80	378	1956
81	383	1955
82	388	1952
83	391	1937
84	395	1932
85	401	1934
86	406	1928
87	412	1930
88	414	1914
89	419	1913
90	422	1900
91	428	1901
92	433	1897
93	437	1889
94	440	1877
95	442	1862
96	445	1850
97	448	1839
98	451	1827
99	454	1817
100	458	1812
101	462	1804
102	466	1798
103	470	1791
104	473	1782
105	476	1771
106	480	1764
107	482	1753
108	485	1741
109	488	1730
110	489	1716
111	492	1707
112	494	1692
113	497	1683
114	499	1672
115	502	1662
116	507	1660
117	510	1651
118	514	1648
119	519	1644
120	521	1633
121	526	1630
122	528	1620
123	530	1609
124	533	1600
125	536	1592
126	538	1582
127	541	1573
128	543	1563
129	545	1553
130	548	1545
131	551	1538
132	553	1528
133	556	1520
134	559	1511
135	561	1502
136	563	1494
137	566	1485
138	568	1476
139	571	1468
140	573	1459
141	575	1450
142	577	1442
143	580	1434
144	582	1425
145	585	1419
146	587	1411
147	590	1404
148	592	1396
149	594	1387
150	597	1382
151	600	1374
152	602	1366
153	604	1358
154	607	1352
155	612	1349
156	615	1344
157	621	1345
158	624	1340
159	628	1335
160	632	1332
161	635	1325
162	637	1318
163	640	1313
164	643	1306
165	647	1303
166	652	1301
167	656	1298
168	660	1292
169	663	1287
170	668	1286
171	672	1282
172	676	1278
173	679	1273
174	684	1271
175	689	1269
176	694	1266
177	696	1260
178	699	1254
179	702	1249
180	705	1243
181	710	1241
182	713	1235
183	717	1231
184	721	1227
185	725	1225
186	729	1220
187	731	1213
188	733	1207
189	735	1200
190	737	1193
191	740	1187
192	742	1181
193	750	1183
194	753	1179
195	757	1175
196	760	1170
197	764	1165
198	768	1162
199	772	1158
200	774	1152
201	777	1147
202	780	1142
203	785	1139
204	789	1135
205	793	1132
206	796	1127
207	800	1123
208	805	1121
209	809	1117
210	814	1116
211	817	1110
212	819	1104
213	821	1098
214	823	1092
215	827	1087
216	829	1081
217	831	1075
218	834	1070
219	837	1065
220	840	1060
221	842	1054
222	844	1049
223	846	1043
224	849	1037
225	851	1032
226	854	1027
227	857	1022
228	860	1017
229	862	1012
230	864	1006
231	865	999
232	867	993
233	868	987
234	870	981
235	871	975
236	873	969
237	875	963
238	876	957
239	878	951
240	879	945
241	881	939
242	882	933
243	884	928
244	886	922
245	887	916
246	889	911
247	890	905
248	892	899
249	893	893
250	895	888
251	896	882
252	898	876
253	899	871
254	902	866
255	904	861
256	907	857
257	910	853
258	912	849
259	915	845
260	917	840
261	920	836
262	922	831
263	925	827
264	928	823
265	930	818
266	932	814
267	935	809
268	937	805
269	939	800
270	942	796
271	944	791
272	947	787
273	949	783
274	952	779
275	954	774
276	957	770
277	959	766
278	962	762
279	964	757
280	966	753
281	969	749
282	971	744
283	974	740
284	976	736
285	978	732
286	981	728
287	984	724
288	986	720
289	989	716
290	991	712
291	994	708
292	997	704
293	1000	700
294	1002	696
295	1004	692
296	1007	688
297	1010	684
298	1012	680
299	1016	677
300	1019	673
301	1022	670
302	1025	666
303	1028	663
304	1031	659
305	1034	656
306	1038	652
307	1040	648
308	1043	644
309	1046	641
310	1052	639
311	1054	635
312	1056	631
313	1059	627
314	1063	624
315	1066	620
316	1068	616
317	1071	612
318	1073	609
319	1076	605
320	1079	601
321	1081	597
322	1083	593
323	1085	589
324	1088	585
325	1090	582
326	1092	578
327	1095	574
328	1097	570
329	1099	566
330	1102	562
331	1105	559
332	1108	555
333	1110	551
334	1112	548
335	1115	544
336	1119	541
337	1122	538
338	1127	535
339	1131	532
340	1135	529
341	1139	526
342	1144	523
343	1148	520
344	1153	518
345	1157	515
346	1161	512
347	1164	508
348	1167	505
349	1169	501
350	1173	498
351	1176	494
352	1178	490
353	1181	487
354	1183	483
355	1186	479
356	1188	475
357	1190	472
358	1192	468
359	1194	464
360	1196	460
361	1197	456
362	1199	452
363	1200	448
364	1202	444
365	1204	440
366	1205	437
367	1207	433
368	1210	429
369	1214	426
370	1217	423
371	1219	419
372	1222	416
373	1225	413
374	1230	410
375	1233	406
376	1237	403
377	1240	400
378	1245	397
379	1248	394
380	1250	390
381	1252	386
382	1255	383
383	1257	379
384	1259	376
385	1262	372
386	1264	369
387	1268	366
388	1273	363
389	1275	359
390	1277	356
391	1280	352
392	1282	349
393	1284	345
394	1286	342
395	1289	338
396	1291	335
397	1293	331
398	1296	328
399	1300	325
400	1303	321
401	1306	318
402	1310	315
403	1316	312
404	1318	309
405	1321	306
406	1324	302
407	1328	299
408	1330	296
409	1334	292
410	1337	289
411	1339	286
412	1340	282
413	1347	279
414	1349	276
415	1351	272
416	1352	269
417	1354	265
418	1355	262
419	1357	258
420	1359	255
421	1360	251
422	1362	247
423	1363	244
424	1365	240
425	1367	237
426	1368	233
427	1370	230
428	1371	227
429	1373	223
430	1375	220
431	1377	216
432	1379	213
433	1380	209
434	1382	206
435	1383	203
436	1385	199
437	1386	196
438	1388	192
439	1390	189
440	1392	186
441	1394	182
442	1396	179
443	1398	176
444	1400	173
445	1401	169
446	1403	166
447	1404	163
448	1406	159
449	1408	156
450	1409	153
451	1411	149
452	1413	146
453	1414	143
454	1417	140
455	1418	136
456	1420	133
457	1421	130
458	1423	127
459	1425	123
460	1426	120
461	1428	117
462	1430	114
463	1431	111
464	1433	107
465	1434	104
466	1436	101
467	1437	98
468	1439	95
469	1441	91
470	1442	88
471	1444	85
472	1445	82
473	1447	79
474	1448	76
475	1450	73
476	1451	70
477	1453	66
478	1455	63
479	1456	60
480	1458	57
481	1460	54
482	1461	51
483	1463	48
484	1465	45
485	1467	42
486	1468	39
487	1470	36
488	1472	33
489	1473	30
490	1475	27
491	1476	24
492	1478	20
493	1480	17
494	1481	14
495	1483	11
496	1484	8
497	1486	5
498	1488	2
499	1489	0
